time,level,activity,status
1624972502.28414,INFO,fun dances,running
1624972558.141403,INFO,fun dances,finished
1624972558.142479,INFO,mood board,running
1624972595.359169,INFO,mood board,finished
1624972595.361151,INFO,default,running
1624972623.235891,INFO,default,interrupted - no one engaged
1624972623.236119,INFO,default,running
1624973046.247116,INFO,default,finished
1624973046.250122,INFO,mood board,running
1624973072.983392,INFO,jokes,mood_green
1624973072.983706,INFO,mood board,finished
1624973072.985178,INFO,jokes,running
1624973093.924892,INFO,jokes,interrupted from Pepper tablet
1624973093.925272,INFO,mood board,running
1624973118.292927,INFO,cuddle,mood_green
1624973118.293462,INFO,mood board,finished
1624973118.295346,INFO,cuddle,running
1624973133.614391,INFO,cuddle,finished
1624973133.615744,INFO,mood board,running
1624973143.950572,INFO,mood board,finished
1624973143.952223,INFO,default,running
1624973153.482494,INFO,default,interrupted - no one engaged
1624973153.482788,INFO,default,running
1624973153.534055,INFO,default,interrupted from ctrl tablet
1624973153.535145,INFO,default,running
1624973163.0061,INFO,mood board,running
1624973188.849257,INFO,fun dances,unknown
1624973188.849823,INFO,mood board,finished
1624973188.851494,INFO,fun dances,running
1624973201.967072,INFO,fun dances,finished
1624973201.968179,INFO,mood board,running
1624973222.627374,INFO,mood board,finished
1624973222.629376,INFO,default,running
1624973224.869847,INFO,default,finished
1624973224.87183,INFO,mood board,running
1624973254.732495,INFO,fun dances,unknown
1624973254.732922,INFO,mood board,finished
1624973254.734455,INFO,fun dances,running
1624973274.068686,INFO,fun dances,finished
1624973274.069722,INFO,mood board,running
1624973287.164182,INFO,mood board,finished
1624973287.16497,INFO,default,running
1624973290.675159,INFO,default,finished
1624973290.676928,INFO,mood board,running
1624973332.292012,INFO,relaxing sounds,mood_red
1624973332.292343,INFO,mood board,finished
1624973332.293837,INFO,relaxing sounds,running
1624973348.133373,INFO,relaxing sounds,finished
1624973348.134436,INFO,mood board,running
1624973361.696257,INFO,mood board,finished
1624973361.698118,INFO,default,running
1624973376.283972,INFO,default,finished
1624973376.285954,INFO,mood board,running
1624973415.840205,INFO,jokes,unknown
1624973415.840689,INFO,mood board,finished
1624973415.842737,INFO,jokes,running
1624973464.298448,INFO,jokes,finished
1624973464.299755,INFO,mood board,running
1624973473.652539,INFO,mood board,finished
1624973473.654261,INFO,default,running
1624973492.345583,INFO,default,interrupted - no one engaged
1624973492.345859,INFO,default,running
1624973494.43313,INFO,default,interrupted from ctrl tablet
1624973494.434022,INFO,default,running
1624973957.26187,INFO,mood board,running
1624973992.192828,INFO,story,mood_green
1624973992.193149,INFO,mood board,finished
1624973992.195306,INFO,story,running
1624974008.457948,INFO,story,interrupted from Pepper tablet
1624974008.45887,INFO,mood board,running
1624974045.93633,INFO,jokes,mood_green
1624974045.936807,INFO,mood board,finished
1624974045.938507,INFO,jokes,running
1624974075.144949,INFO,jokes,finished
1624974075.146077,INFO,mood board,running
1624974077.484011,INFO,mood board,interrupted - no one engaged
1624974077.484615,INFO,default,running
1624974400.076608,INFO,mood board,running
1624974415.442411,INFO,fun dances,mood_green
1624974415.442955,INFO,mood board,finished
1624974415.44449,INFO,fun dances,running
1624974428.636447,INFO,fun dances,finished
1624974428.637553,INFO,mood board,running
1624974432.689963,INFO,mood board,interrupted - no one engaged
1624974432.690778,INFO,default,running
